function,backend,dtype,n,max_ulp,p99_ulp,median_ulp,frac_gt1,frac_gt10,max_abs_err,nonfinite_mismatch,worst_x,worst_got,worst_ref,vec_scalar_mismatch,default_tol_fail,op_tol_fail,op_rtol,op_atol,seconds
erf,torch,f32,619,0.5495233666856952,0.5258107462036373,0.22668864350134943,0.0,0.0,2.960340494961855e-08,0,-1.3104892282456149e-08,-1.4787286950479483e-08,-1.4787287438554279e-08,0,0,0,1.3e-06,1e-05,0.03
erf,scipy,f32,619,0.49666271889735175,0.4918692464585141,0.22668864350134943,0.0,0.0,2.960340494961855e-08,0,-2.665943145751953,-0.9998368620872498,-0.9998368916906547,,,,,,0.02
erf,jax,f32,619,9465529.379751587,1.980566296582757,0.6655911282034246,0.23424878836833601,0.0032310177705977385,1.1637069885495066e-07,0,1.1754942106924411e-38,0.0,1.3264031783867337e-38,,,,,,0.06
erf,torch,f64,619,0.6406531172250308,0.6364102549348453,0.2367585998741671,0.0,0.0,3.469446951953614e-18,0,-2.5764226909720414e-08,-2.9071816901250108e-08,-2.9071816901250105e-08,0,0,0,1e-07,1e-07,0.02
erf,scipy,f64,619,1.7744014268064747,1.645503573681952,0.41500776192099453,0.12924071082390953,0.0,1.1102230246251565e-16,0,-0.002888390858205164,-0.0032591910072305016,-0.0032591910072305025,,,,,,0.02
erf,jax,f64,619,5081767996463980.0,0.7080169580069918,0.2411867566416544,0.006462035541195477,0.0032310177705977385,1.3877787807814457e-17,0,2.225073858507201e-308,0.0,2.510726987188354e-308,,,,,,0.05
erfc,torch,f32,619,0.7484451396620992,0.72321845626004,0.2286527905348251,0.0,0.0,8.922161343072332e-08,0,-0.0004659800906665623,1.000525712966919,1.0005258021885324,0,0,0,1.3e-06,1e-05,0.03
erfc,scipy,f32,619,0.4996480194675231,0.49588205112136347,0.2286527905348251,0.0,0.0,5.9237837080061695e-08,0,0.009844060987234116,0.9888925552368164,0.9888925254554737,,,,,,0.02
erfc,jax,f32,619,152.62377699312154,13.926670453890608,0.25293047539072777,0.05977382875605816,0.014539579967689823,1.2280988315183095e-07,0,9.767005920410156,0.0,2.1387146431991456e-43,,,,,,0.07
erfc,torch,f64,619,0.7496787878180996,0.729350572826501,0.24994069851662257,0.0,0.0,2.220446049250313e-16,0,-0.002663176139172088,1.0030050653692633,1.0030050653692635,0,0,0,1e-07,1e-07,0.03
erfc,scipy,f64,619,105999.0502855368,98.7970603196972,0.2781801531721133,0.0791599353796446,0.033925686591276254,2.220446049250313e-16,0,27.000000000000004,0.0,5.23705e-319,,,,,,0.02
